"","timestamp","event.hyperUnique_unique_agents","event.longSum_total_records","event.origin_subzone"
"1","2018-01-05T00:00:00.000+08:00",459,477,"KLSZ05"
"2","2018-01-05T01:00:00.000+08:00",605,605,"KLSZ05"
"3","2018-01-05T02:00:00.000+08:00",473,460,"KLSZ05"
"4","2018-01-05T03:00:00.000+08:00",487,485,"KLSZ05"
"5","2018-01-05T04:00:00.000+08:00",521,522,"KLSZ05"
"6","2018-01-05T05:00:00.000+08:00",756,743,"KLSZ05"
"7","2018-01-05T06:00:00.000+08:00",1293,1292,"KLSZ05"
"8","2018-01-05T07:00:00.000+08:00",2115,2172,"KLSZ05"
"9","2018-01-05T08:00:00.000+08:00",3077,3070,"KLSZ05"
"10","2018-01-05T09:00:00.000+08:00",2726,2855,"KLSZ05"
"11","2018-01-05T10:00:00.000+08:00",2634,2615,"KLSZ05"
"12","2018-01-05T11:00:00.000+08:00",2777,2907,"KLSZ05"
"13","2018-01-05T12:00:00.000+08:00",2898,2959,"KLSZ05"
"14","2018-01-05T13:00:00.000+08:00",3229,3294,"KLSZ05"
"15","2018-01-05T14:00:00.000+08:00",3004,3152,"KLSZ05"
"16","2018-01-05T15:00:00.000+08:00",2836,2790,"KLSZ05"
"17","2018-01-05T16:00:00.000+08:00",3044,3063,"KLSZ05"
"18","2018-01-05T17:00:00.000+08:00",3560,3528,"KLSZ05"
"19","2018-01-05T18:00:00.000+08:00",3904,4077,"KLSZ05"
"20","2018-01-05T19:00:00.000+08:00",3926,3980,"KLSZ05"
"21","2018-01-05T20:00:00.000+08:00",3394,3399,"KLSZ05"
"22","2018-01-05T21:00:00.000+08:00",3139,3189,"KLSZ05"
"23","2018-01-05T22:00:00.000+08:00",2581,2674,"KLSZ05"
"24","2018-01-05T23:00:00.000+08:00",591,585,"KLSZ05"
