"","timestamp","event.agent_gender","event.hyperUnique_unique_agents","event.staypoint_subzone"
"1","2017-12-02T00:00:00.000+08:00","F",41,"OTSZ02"
"2","2017-12-02T00:00:00.000+08:00","M",72,"OTSZ02"
"3","2017-12-02T00:00:00.000+08:00","NA",120,"OTSZ02"
"4","2017-12-02T02:30:00.000+08:00","M",40,"OTSZ02"
"5","2017-12-02T02:30:00.000+08:00","NA",40,"OTSZ02"
"6","2017-12-02T05:00:00.000+08:00","F",46,"OTSZ02"
"7","2017-12-02T05:00:00.000+08:00","M",66,"OTSZ02"
"8","2017-12-02T05:00:00.000+08:00","NA",59,"OTSZ02"
"9","2017-12-02T07:30:00.000+08:00","F",105,"OTSZ02"
"10","2017-12-02T07:30:00.000+08:00","M",136,"OTSZ02"
"11","2017-12-02T07:30:00.000+08:00","NA",142,"OTSZ02"
"12","2017-12-02T10:00:00.000+08:00","F",262,"OTSZ02"
"13","2017-12-02T10:00:00.000+08:00","M",358,"OTSZ02"
"14","2017-12-02T10:00:00.000+08:00","NA",405,"OTSZ02"
"15","2017-12-02T12:30:00.000+08:00","F",198,"OTSZ02"
"16","2017-12-02T12:30:00.000+08:00","M",248,"OTSZ02"
"17","2017-12-02T12:30:00.000+08:00","NA",269,"OTSZ02"
"18","2017-12-02T15:00:00.000+08:00","F",215,"OTSZ02"
"19","2017-12-02T15:00:00.000+08:00","M",320,"OTSZ02"
"20","2017-12-02T15:00:00.000+08:00","NA",408,"OTSZ02"
"21","2017-12-02T17:30:00.000+08:00","F",135,"OTSZ02"
"22","2017-12-02T17:30:00.000+08:00","M",194,"OTSZ02"
"23","2017-12-02T17:30:00.000+08:00","NA",311,"OTSZ02"
"24","2017-12-02T20:00:00.000+08:00","F",63,"OTSZ02"
"25","2017-12-02T20:00:00.000+08:00","M",92,"OTSZ02"
"26","2017-12-02T20:00:00.000+08:00","NA",120,"OTSZ02"
"27","2017-12-02T22:30:00.000+08:00","F",40,"OTSZ02"
"28","2017-12-02T22:30:00.000+08:00","M",40,"OTSZ02"
"29","2017-12-02T22:30:00.000+08:00","NA",40,"OTSZ02"
