"","timestamp","event.agent_gender","event.doubleSum_sum_stay_duration","event.staypoint_subzone"
"1","2017-12-02T00:00:00.000+08:00","F",18434,"OTSZ02"
"2","2017-12-02T00:00:00.000+08:00","M",30603,"OTSZ02"
"3","2017-12-02T00:00:00.000+08:00","NA",68246,"OTSZ02"
"4","2017-12-02T02:30:00.000+08:00","M",1251,"OTSZ02"
"5","2017-12-01T18:30:00.000Z","NA",3598,"OTSZ02"
"6","2017-12-02T05:00:00.000+08:00","F",8346,"OTSZ02"
"7","2017-12-02T05:00:00.000+08:00","M",11758,"OTSZ02"
"8","2017-12-02T05:00:00.000+08:00","NA",18169,"OTSZ02"
"9","2017-12-02T07:30:00.000+08:00","F",19971,"OTSZ02"
"10","2017-12-02T07:30:00.000+08:00","M",26412,"OTSZ02"
"11","2017-12-02T07:30:00.000+08:00","NA",33050,"OTSZ02"
"12","2017-12-02T02:00:00.000Z","F",40583,"OTSZ02"
"13","2017-12-02T02:00:00.000Z","M",47684,"OTSZ02"
"14","2017-12-02T02:00:00.000Z","NA",61702,"OTSZ02"
"15","2017-12-02T12:30:00.000+08:00","F",21836,"OTSZ02"
"16","2017-12-02T12:30:00.000+08:00","M",24335,"OTSZ02"
"17","2017-12-02T12:30:00.000+08:00","NA",36100,"OTSZ02"
"18","2017-12-02T07:00:00.000Z","F",18043,"OTSZ02"
"19","2017-12-02T07:00:00.000Z","M",24737,"OTSZ02"
"20","2017-12-02T07:00:00.000Z","NA",42378,"OTSZ02"
"21","2017-12-02T17:30:00.000+08:00","F",10519,"OTSZ02"
"22","2017-12-02T17:30:00.000+08:00","M",14126,"OTSZ02"
"23","2017-12-02T17:30:00.000+08:00","NA",28220,"OTSZ02"
"24","2017-12-02T20:00:00.000+08:00","F",3723,"OTSZ02"
"25","2017-12-02T20:00:00.000+08:00","M",5297,"OTSZ02"
"26","2017-12-02T20:00:00.000+08:00","NA",9013,"OTSZ02"
"27","2017-12-02T22:30:00.000+08:00","F",71,"OTSZ02"
"28","2017-12-02T22:30:00.000+08:00","M",317,"OTSZ02"
"29","2017-12-02T22:30:00.000+08:00","NA",270,"OTSZ02"
